Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,132503,03.01.2012 11:19,AQUATIM S.A. Timisoara,RO 3041480,Timis,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,320,000.00",RON,Offline,NU,NU,60100000-9,Servicii de transport rutier (Rev.2)
2,132509,03.01.2012 11:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"570,000.00",RON,Offline,NU,NU,50720000-8,Servicii de reparare si de intretinere a incalzirii centrale (Rev.2)
3,132510,03.01.2012 13:21,"MINISTERUL ECONOMIEI,COMERTULUI SI TURISMULUI",24931499,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"170,000.00",RON,Offline,NU,DA,79952000-2,Servicii pentru evenimente (Rev.2)
4,132488,04.01.2012 01:30,CONSILIUL JUDETEAN DOLJ,4417150,Dolj,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"579,000.00",RON,Offline,DA,NU,33190000-8,Diverse aparate si produse medicale (Rev.2)
5,132540,04.01.2012 09:08,CONSILIUL JUDETEAN BRAILA,4205491,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"95,000.00",RON,Offline,NU,DA,33100000-1,Echipamente medicale (Rev.2)
6,132492,04.01.2012 10:13,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"165,000.00",RON,Offline,NU,NU,31121200-2,Grupuri electrogene cu motor cu aprindere prin scanteie (Rev.2)
7,132522,04.01.2012 10:50,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"356,100.00",RON,Online,NU,NU,33600000-6,Produse farmaceutice (Rev.2)
8,132523,04.01.2012 10:55,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"352,200.00",RON,Online,NU,NU,33600000-6,Produse farmaceutice (Rev.2)
9,132527,04.01.2012 11:00,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,500.00",RON,Online,NU,NU,33600000-6,Produse farmaceutice (Rev.2)
10,132538,04.01.2012 11:15,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"75,000.00",RON,Offline,NU,NU,60130000-8,Servicii de transport rutier specializat de pasageri (Rev.2)
11,132537,04.01.2012 11:21,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"150,000.00",RON,Offline,NU,NU,45259000-7,Reparare si intretinere a echipamentelor (Rev.2)
12,132539,04.01.2012 11:38,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"100,000.00",RON,Offline,NU,NU,71323100-9,Servicii de proiectare a sistemelor de energie electrica (Rev.2)
13,132542,04.01.2012 11:49,APA NOVA PLOIESTI SRL,RO13102711,Prahova,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"220,660.00",RON,Offline,NU,NU,44167300-1,"Cotituri, profile T si accesorii de tevarie (Rev.2)"
14,132520,04.01.2012 15:01,COMUNA BISTRET,4553895,Dolj,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,408,152.00",RON,Offline,NU,DA,45210000-2,Lucrari de constructii de cladiri (Rev.2)
15,132529,04.01.2012 16:38,JUDETUL TULCEA,4321607,Tulcea,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"528,000.00",RON,Offline,NU,NU,90600000-3,Servicii de curatenie si igienizare in mediu urban sau rural si servicii conexe (Rev.2)
16,132508,05.01.2012 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"48,027,893.76",RON,Offline,DA,NU,66114000-2,Servicii de leasing financiar (Rev.2)
17,132543,05.01.2012 01:30,S.C. NOVA APASERV S.A. Botosani,RO26161230,Botosani,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"10,880,349.00",RON,Offline,DA,DA,71520000-9,Servicii de supraveghere a lucrarilor (Rev.2)
18,132518,05.01.2012 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,295,780.14",RON,Offline,DA,NU,71520000-9,Servicii de supraveghere a lucrarilor (Rev.2)
19,132515,05.01.2012 01:30,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,619,898.90",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
